fecha Hora S_Proximidad S_Velocidad S_Peso S_Temperatura
2023-05-29 03:02:25.397645 3 15 75 82
2023-05-29 03:02:25.397645 1 22 10 0
2023-05-29 03:02:25.397645 0 21 52 33
2023-05-29 03:02:25.397645 9 34 22 10
2023-05-29 03:02:25.397645 9 3 24 39
2023-05-29 03:02:25.397645 3 16 89 91
2023-05-29 03:02:25.397645 9 3 82 11
2023-05-29 03:02:25.397645 9 5 36 12
2023-05-29 03:02:25.397645 7 17 27 91
2023-05-29 03:02:25.397645 6 32 93 49
2023-05-29 03:02:25.397645 8 2 29 67
2023-05-29 03:02:25.397645 3 8 38 82
2023-05-29 03:02:25.397645 8 22 71 2
2023-05-29 03:02:25.397645 9 18 15 14
2023-05-29 03:02:25.397645 8 32 48 89
2023-05-29 03:02:25.397645 8 25 28 99
2023-05-29 03:02:25.397645 1 26 76 70
2023-05-29 03:02:25.397645 7 11 68 26
2023-05-29 03:02:25.397645 9 34 52 26
2023-05-29 03:02:25.397645 3 32 20 45
2023-05-29 03:02:25.397645 0 17 88 3
2023-05-29 03:02:25.397645 3 16 60 74
2023-05-29 03:02:25.397645 4 33 93 58
2023-05-29 03:02:25.397645 4 24 84 59
2023-05-29 03:02:25.397645 3 6 19 66
2023-05-29 03:02:25.397645 5 20 59 32
2023-05-29 03:02:25.397645 8 23 90 33
2023-05-29 03:02:25.397645 7 25 58 13
2023-05-29 03:02:25.397645 1 31 93 13
2023-05-29 03:02:25.397645 5 30 83 96
2023-05-29 03:02:25.397645 2 23 70 46
2023-05-29 03:02:25.397645 5 19 38 86
2023-05-29 03:02:25.397645 4 5 17 49
2023-05-29 03:02:25.397645 6 18 47 23
2023-05-29 03:02:25.397645 1 15 61 23
2023-05-29 03:02:25.397645 7 31 49 34
2023-05-29 03:02:25.397645 8 1 37 72
2023-05-29 03:02:25.397645 1 15 33 91
2023-05-29 03:02:25.397645 7 34 62 61
2023-05-29 03:02:25.397645 6 16 87 52
2023-05-29 03:02:25.397645 7 6 15 3
2023-05-29 03:02:25.397645 8 32 22 78
2023-05-29 03:02:25.397645 7 14 63 39
2023-05-29 03:02:25.397645 8 31 20 21
2023-05-29 03:02:25.397645 9 22 39 31
2023-05-29 03:02:25.397645 2 7 41 16
2023-05-29 03:02:25.397645 6 12 97 95
2023-05-29 03:02:25.397645 8 3 72 9
2023-05-29 03:02:25.397645 1 33 36 93
2023-05-29 03:02:25.397645 1 4 59 12
2023-05-29 03:02:25.397645 8 9 57 94
2023-05-29 03:02:25.397645 2 11 81 82
2023-05-29 03:02:25.397645 2 17 76 69
2023-05-29 03:02:25.397645 0 22 79 1
2023-05-29 03:02:25.397645 3 34 21 37
2023-05-29 03:02:25.397645 2 17 69 29
2023-05-29 03:02:25.397645 4 25 14 35
2023-05-29 03:02:25.397645 7 9 35 11
2023-05-29 03:02:25.397645 5 28 82 64
2023-05-29 03:02:25.397645 3 17 20 18
2023-05-29 03:02:25.397645 6 10 90 75
2023-05-29 03:02:25.397645 1 20 95 18
2023-05-29 03:02:25.397645 7 4 29 57
2023-05-29 03:02:25.397645 3 2 42 14
2023-05-29 03:02:25.397645 1 9 32 65
2023-05-29 03:02:25.397645 8 9 53 95
2023-05-29 03:02:25.397645 5 5 37 66
2023-05-29 03:02:25.397645 4 20 54 13
2023-05-29 03:02:25.397645 0 13 14 45
2023-05-29 03:02:25.397645 2 16 38 85
2023-05-29 03:02:25.397645 8 22 31 13
2023-05-29 03:02:25.397645 6 19 79 7
2023-05-29 03:02:25.397645 5 15 19 2
2023-05-29 03:02:25.397645 1 11 50 99
2023-05-29 03:02:25.397645 7 31 96 77
2023-05-29 03:02:25.397645 5 26 51 97
2023-05-29 03:02:25.397645 4 32 55 47
2023-05-29 03:02:25.397645 6 5 55 76
2023-05-29 03:02:25.397645 0 5 95 52
2023-05-29 03:02:25.397645 6 30 50 74
2023-05-29 03:02:25.397645 2 33 27 60
2023-05-29 03:02:25.397645 0 7 12 60
2023-05-29 03:02:25.397645 3 7 70 48
2023-05-29 03:02:25.397645 2 26 76 98
2023-05-29 03:02:25.397645 9 32 38 90
2023-05-29 03:02:25.397645 7 8 64 34
2023-05-29 03:02:25.397645 6 1 94 77
2023-05-29 03:02:25.397645 8 19 14 15
2023-05-29 03:02:25.397645 3 20 85 59
2023-05-29 03:02:25.397645 8 19 95 22
2023-05-29 03:02:25.397645 8 12 87 48
2023-05-29 03:02:25.397645 2 8 34 11
2023-05-29 03:02:25.397645 6 19 36 84
2023-05-29 03:02:25.397645 0 13 38 90
2023-05-29 03:02:25.397645 9 9 34 48
2023-05-29 03:02:25.397645 1 22 51 72
2023-05-29 03:02:25.397645 2 4 56 14
2023-05-29 03:02:25.397645 3 24 82 1
2023-05-29 03:02:25.397645 2 26 33 86
2023-05-29 03:02:25.397645 7 33 24 92
2023-05-29 03:02:25.397645 5 18 36 56
2023-05-29 03:02:25.397645 1 28 75 93
2023-05-29 03:02:25.397645 8 28 56 16
2023-05-29 03:02:25.397645 7 20 65 15
2023-05-29 03:02:25.397645 0 30 62 97
2023-05-29 03:02:25.397645 5 2 82 87
2023-05-29 03:02:25.397645 3 11 71 0
2023-05-29 03:02:25.397645 2 18 39 67
2023-05-29 03:02:25.397645 5 26 74 70
2023-05-29 03:02:25.397645 5 19 31 70
2023-05-29 03:02:25.397645 1 11 51 73
2023-05-29 03:02:25.397645 9 13 72 38
2023-05-29 03:02:25.397645 3 6 74 17
2023-05-29 03:02:25.397645 4 4 76 43
2023-05-29 03:02:25.397645 0 24 31 95
2023-05-29 03:02:25.397645 5 32 35 76
2023-05-29 03:02:25.397645 4 25 48 8
2023-05-29 03:02:25.397645 9 25 55 43
2023-05-29 03:02:25.397645 6 12 94 54
2023-05-29 03:02:25.397645 2 17 97 77
2023-05-29 03:02:25.397645 9 30 23 77
2023-05-29 03:02:25.397645 2 24 40 83
2023-05-29 03:02:25.397645 6 19 24 32
2023-05-29 03:02:25.397645 8 27 58 63
2023-05-29 03:02:25.397645 9 5 15 18
2023-05-29 03:02:25.397645 2 28 32 66
2023-05-29 03:02:25.397645 6 15 59 50
2023-05-29 03:02:25.397645 6 30 65 59
2023-05-29 03:02:25.397645 9 7 10 78
2023-05-29 03:02:25.397645 7 7 10 90
2023-05-29 03:02:25.397645 6 29 26 18
2023-05-29 03:02:25.397645 4 18 77 98
2023-05-29 03:02:25.397645 4 4 76 38
2023-05-29 03:02:25.397645 2 7 81 26
2023-05-29 03:02:25.397645 1 4 63 35
2023-05-29 03:02:25.397645 6 31 40 0
2023-05-29 03:02:25.397645 2 10 26 88
2023-05-29 03:02:25.397645 2 9 75 47
2023-05-29 03:02:25.397645 9 22 90 89
2023-05-29 03:02:25.397645 4 34 21 52
2023-05-29 03:02:25.397645 5 34 42 72
2023-05-29 03:02:25.397645 5 20 43 23
2023-05-29 03:02:25.397645 2 18 58 84
2023-05-29 03:02:25.397645 3 13 29 53
2023-05-29 03:02:25.397645 9 26 32 65
2023-05-29 03:02:25.397645 1 18 32 7
2023-05-29 03:02:25.397645 8 2 99 38
2023-05-29 03:02:25.397645 2 10 25 28
